#71603 YQI Yarmouth Observations at 12Z 20 Jun 2014</H2>
#----------------------------------------------------------------------------
#  PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#   hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#----------------------------------------------------------------------------
   98.9  16459  -51.6  -83.5      1   0.00    340     17  429.0  429.1  429.0
   94.4  16764  -53.0  -84.5      1   0.00    345     17  432.2  432.2  432.2
   90.0  17069  -54.4  -85.4      1   0.00    310      4  435.3  435.3  435.3
   89.6  17098  -54.5  -85.5      1   0.00    309      4  435.6  435.6  435.6
   70.0  18680  -54.1  -86.1      1   0.00    255      5  468.3  468.3  468.3
   64.5  19202  -53.4  -85.4      1   0.00    170      1  480.8  480.9  480.8
   62.4  19419  -53.1  -85.1      1   0.00    205      1  486.1  486.2  486.1
   58.7  19812  -53.6  -85.3      1   0.00    270      1  493.6  493.6  493.6
   50.9  20726  -54.8  -85.8      1   0.00     45     11  511.4  511.4  511.4
   50.0  20840  -54.9  -85.9      1   0.00     60     16  513.7  513.7  513.7
   48.5  21031  -55.8  -86.8      1   0.00     75     18  515.9  515.9  515.9
   48.4  21048  -55.9  -86.9      1   0.00     77     18  516.1  516.1  516.1
   46.3  21336  -55.6  -86.7      1   0.00    110     11  523.5  523.6  523.5
   42.1  21946  -54.9  -86.3      1   0.01     70     16  539.7  539.8  539.7
   40.1  22250  -54.5  -86.1      1   0.01     35     20  547.9  548.0  547.9
   38.3  22555  -54.2  -85.9      1   0.01     75     18  556.3  556.4  556.3
   35.0  23128  -53.5  -85.5      1   0.01     89     19  572.4  572.5  572.4
   34.8  23165  -53.4  -85.4      1   0.01     90     19  573.7  573.8  573.7
   33.2  23470  -52.3  -84.6      1   0.01     80     24  584.4  584.4  584.4
   30.0  24130  -49.9  -82.9      1   0.01     85     18  608.0  608.1  608.0
   28.9  24384  -49.4  -82.6      1   0.02     90     19  616.2  616.3  616.2
   27.6  24689  -48.7  -82.2      1   0.02     75     23  626.1  626.3  626.1
   26.3  24994  -48.1  -81.7      1   0.02     90     26  636.2  636.4  636.2
   25.1  25298  -47.5  -81.3      1   0.02     85     21  646.5  646.7  646.5
   24.0  25603  -46.8  -80.9      1   0.02     85     19  656.9  657.1  656.9
   20.9  26518  -44.9  -79.7      1   0.03     85     12  689.2  689.5  689.2
   20.0  26822  -44.3  -79.3      1   0.04     95     27  700.2  700.6  700.3
   20.0  26810  -44.3  -79.3      1   0.04     90     24  699.8  700.2  699.8
   18.2  27432  -42.7  -78.1      1   0.05     95     19  723.4  723.9  723.4
   17.4  27737  -42.0  -77.5      1   0.06    105     20  735.2  735.8  735.2
   15.9  28346  -40.4  -76.4      1   0.07     60     20  759.4  760.3  759.5
